record_id,customer_id,region_id,group,segment,contact_date,converted,conversion_window_end_date,source_file
2026q3-conv-0130,2026q3-busan-control-0130,busan,control,domestic,2026-08-19,N,2026-08-26,pilot_conversion_2026q3.csv
2026q3-conv-0131,2026q3-busan-control-0131,busan,control,domestic,2026-08-16,N,2026-08-23,pilot_conversion_2026q3.csv
2026q3-conv-0132,2026q3-busan-control-0132,busan,control,domestic,2026-08-24,Y,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0133,2026q3-busan-control-0133,busan,control,domestic,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0134,2026q3-busan-control-0134,busan,control,domestic,2026-08-27,N,2026-09-03,pilot_conversion_2026q3.csv
2026q3-conv-0135,2026q3-busan-control-0135,busan,control,tourist,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0136,2026q3-busan-control-0136,busan,control,domestic,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0137,2026q3-busan-control-0137,busan,control,domestic,2026-08-20,N,2026-08-27,pilot_conversion_2026q3.csv
2026q3-conv-0138,2026q3-busan-control-0138,busan,control,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0139,2026q3-busan-control-0139,busan,control,domestic,2026-08-17,Y,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0140,2026q3-busan-control-0140,busan,control,domestic,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
2026q3-conv-0141,2026q3-busan-control-0141,busan,control,tourist,2026-08-29,N,2026-09-05,pilot_conversion_2026q3.csv
2026q3-conv-0142,2026q3-busan-control-0142,busan,control,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0143,2026q3-busan-control-0143,busan,control,domestic,2026-08-26,N,2026-09-02,pilot_conversion_2026q3.csv
2026q3-conv-0144,2026q3-busan-control-0144,busan,control,domestic,2026-08-24,N,2026-08-31,pilot_conversion_2026q3.csv
2026q3-conv-0145,2026q3-busan-control-0145,busan,control,domestic,2026-08-25,N,2026-09-01,pilot_conversion_2026q3.csv
2026q3-conv-0146,2026q3-busan-control-0146,busan,control,tourist,2026-08-19,N,2026-08-26,pilot_conversion_2026q3.csv
2026q3-conv-0147,2026q3-busan-control-0147,busan,control,tourist,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0148,2026q3-busan-control-0148,busan,control,tourist,2026-08-22,N,2026-08-29,pilot_conversion_2026q3.csv
2026q3-conv-0149,2026q3-busan-control-0149,busan,control,domestic,2026-08-17,N,2026-08-24,pilot_conversion_2026q3.csv
2026q3-conv-0150,2026q3-busan-control-0150,busan,control,tourist,2026-08-28,N,2026-09-04,pilot_conversion_2026q3.csv
