record_id,customer_id,region_id,group,acquisition_date,repeat_orders_count,repeat_window_end_date,source_file
2026q2-rep-0226,2026q2-seoul-control-0226,seoul,control,2026-05-30,0,2026-08-28,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0230,2026q2-seoul-control-0230,seoul,control,2026-05-26,2,2026-08-24,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0239,2026q2-seoul-control-0239,seoul,control,2026-05-31,0,2026-08-29,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0242,2026q2-seoul-control-0242,seoul,control,2026-06-10,0,2026-09-08,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0250,2026q2-seoul-control-0250,seoul,control,2026-06-15,0,2026-09-13,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0269,2026q2-seoul-control-0269,seoul,control,2026-05-02,0,2026-07-31,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0281,2026q2-busan-treatment-0281,busan,treatment,2026-06-07,0,2026-09-05,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0294,2026q2-busan-treatment-0294,busan,treatment,2026-05-13,0,2026-08-11,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0296,2026q2-busan-treatment-0296,busan,treatment,2026-06-11,0,2026-09-09,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0307,2026q2-busan-treatment-0307,busan,treatment,2026-05-12,0,2026-08-10,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0316,2026q2-busan-treatment-0316,busan,treatment,2026-05-02,0,2026-07-31,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0317,2026q2-busan-treatment-0317,busan,treatment,2026-05-04,0,2026-08-02,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0323,2026q2-busan-treatment-0323,busan,treatment,2026-05-05,0,2026-08-03,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0333,2026q2-busan-treatment-0333,busan,treatment,2026-06-12,0,2026-09-10,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0343,2026q2-busan-treatment-0343,busan,treatment,2026-06-09,0,2026-09-07,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0357,2026q2-busan-control-0357,busan,control,2026-06-03,1,2026-09-01,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0367,2026q2-busan-control-0367,busan,control,2026-05-26,0,2026-08-24,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0393,2026q2-busan-control-0393,busan,control,2026-06-04,0,2026-09-02,pilot_repeat_purchase_2026q2.csv
2026q2-rep-0403,2026q2-busan-control-0403,busan,control,2026-06-01,0,2026-08-30,pilot_repeat_purchase_2026q2.csv
